Framenr;FrameTime;State;OutlierInfo;LastFltNrSubEv;LastFltNrEv;LastFltNrDec;Decision;SubDecision;PointEvents;rest;walk;dig;drink;eat;groom;rear-unsup;rear-wall;sniff;jump;
109;2021-01-15T16:18:17.872090+0100;000001000001;2.89;9;8;21;160;998;;0;0.01333333333;0;0;0;0;0.0006666666667;0.3333333333;0.6526666667;0;
110;2021-01-15T16:18:17.905407+0100;000001000001;3.1;9;8;21;160;998;;0;0.01333333333;0;0;0;0;0.0006666666667;0.3333333333;0.6526666667;0;
111;2021-01-15T16:18:17.938723+0100;000001000001;3.1;9;8;21;160;998;;0;0.01333333333;0;0;0;0;0.0006666666667;0.3333333333;0.6526666667;0;
112;2021-01-15T16:18:17.972040+0100;000001000001;3.1;9;8;21;160;998;;0;0.012;0;0;0;0;0.0006666666667;0.3333333333;0.654;0;
113;2021-01-15T16:18:18.005356+0100;000001000001;3.28;9;8;21;160;998;;0;0.006;0;0;0;0;0.0006666666667;0.3333333333;0.66;0;
114;2021-01-15T16:18:18.038673+0100;000001000001;3.25;9;8;21;160;998;;0;0.003333333333;0;0;0;0;0.0006666666667;0.3333333333;0.6626666667;0;
115;2021-01-15T16:18:18.071989+0100;000001000001;3.21;9;8;21;160;998;;0;0.00266844563;0;0;0;0;0.0006671114076;0.3335557038;0.6631087392;0;
116;2021-01-15T16:18:18.105306+0100;000001000001;3.35;9;8;21;160;998;;0;0.00266844563;0;0;0;0;0.0006671114076;0.3335557038;0.6631087392;0;
117;2021-01-15T16:18:18.138622+0100;000001000001;3.28;9;8;21;160;998;;0;0.002673796791;0;0;0;0;0.0006684491979;0.3342245989;0.6624331551;0;
118;2021-01-15T16:18:18.171939+0100;000001000001;3.19;9;8;21;160;998;;0;0.002673796791;0;0;0;0;0.0006684491979;0.3342245989;0.6624331551;0;
119;2021-01-15T16:18:18.205255+0100;000001000001;3.29;9;8;21;160;998;;0;0.01201602136;0;0;0;0;0.0006675567423;0.3337783712;0.6535380507;0;
120;2021-01-15T16:18:18.238572+0100;000001000001;3.23;9;8;21;160;998;;0;0.04002668446;0;0;0;0;0.0006671114076;0.3335557038;0.6257505003;0;
121;2021-01-15T16:18:18.271888+0100;000001000001;3.07;9;8;21;160;998;;0;0.1121495327;0;0;0;0;0.0006675567423;0.3337783712;0.5534045394;0;
122;2021-01-15T16:18:18.305205+0100;000001000001;2.96;9;8;21;160;998;;0;0.2236315087;0;0;0;0;0.0006675567423;0.3337783712;0.4419225634;0;
123;2021-01-15T16:18:18.338521+0100;000001000001;2.83;9;8;21;0;998;;0;0.3281982585;0;0;0;0;0.0006697923644;0.3348961822;0.3362357669;0;
124;2021-01-15T16:18:18.371838+0100;000001000001;2.55;9;8;21;70;998;;0;0.4949765573;0;0;0;0;0.0006697923644;0.3348961822;0.1694574682;0;
125;2021-01-15T16:18:18.405154+0100;000001000001;2.65;9;8;21;70;998;;0;0.5820495646;0;0;0;0;0.0006697923644;0.3348961822;0.08238446082;0;
126;2021-01-15T16:18:18.438471+0100;000001000001;2.67;9;8;21;70;998;;0;0.6389819156;0;0;0;0;0.0006697923644;0.3348961822;0.02545210985;0;
127;2021-01-15T16:18:18.471787+0100;000001000001;2.5;9;8;21;70;998;;0;0.6517079705;0;0;0;0;0.0006697923644;0.3348961822;0.01272605492;0;
